Title,Regular Price,Sale Price,Description,Short Description,SKU
"Smartphone X",699,599,"High-performance smartphone with 128GB storage and 6GB RAM","128GB storage, 6GB RAM","SMX"
"Wireless Headphones",199,149,"Noise-cancelling wireless headphones with 20-hour battery life","Noise-cancelling","WH-200"
"4K LED TV",999,849,"55-inch 4K Ultra HD LED TV with HDR and smart features","55-inch, 4K HDR","4KTV-55"
"Laptop Pro 15",1299,1149,"15-inch laptop with Intel i7 processor, 16GB RAM, and 512GB SSD","Intel i7, 16GB RAM, 512GB SSD","LTP-15"
"Bluetooth Speaker",89,69,"Portable Bluetooth speaker with waterproof design and 12-hour battery","Waterproof, 12-hour battery","BSPK-12"
"Gaming Console",499,449,"Next-gen gaming console with 1TB storage and 4K gaming support","1TB storage, 4K gaming","GCON-1TB"
"Smartwatch Series 5",299,249,"Smartwatch with heart rate monitor, GPS, and 7-day battery life","Heart rate monitor, GPS","SW-5"
"Action Camera",349,299,"4K action camera with waterproof casing and image stabilization","4K, Waterproof, Image stabilization","ACAM-4K"
"Wireless Mouse",49,39,"Ergonomic wireless mouse with adjustable DPI and long battery life","Ergonomic, Adjustable DPI","WM-ERG"
"Fitness Tracker",99,79,"Fitness tracker with heart rate monitoring, sleep tracking, and step counting","Heart rate monitoring, Sleep tracking","FT-100"
